#    L    TT             EE             BB             TE             PP             TP             EP          
   115   0.329611E+04   0.980001E+00   0.000000E+00  -0.362234E+02   0.404144E-07   0.915006E-03  -0.759398E-06
   116   0.332933E+04   0.980807E+00   0.000000E+00  -0.365245E+02   0.401818E-07   0.904273E-03  -0.748605E-06
   117   0.336251E+04   0.981004E+00   0.000000E+00  -0.368017E+02   0.399505E-07   0.893704E-03  -0.737285E-06
   118   0.339561E+04   0.980608E+00   0.000000E+00  -0.370545E+02   0.397206E-07   0.883295E-03  -0.725468E-06
   119   0.342864E+04   0.979621E+00   0.000000E+00  -0.372824E+02   0.394920E-07   0.873043E-03  -0.713185E-06
   120   0.346157E+04   0.978053E+00   0.000000E+00  -0.374847E+02   0.392649E-07   0.862947E-03  -0.700469E-06
   121   0.349441E+04   0.975906E+00   0.000000E+00  -0.376608E+02   0.390392E-07   0.853002E-03  -0.687350E-06
   122   0.352713E+04   0.973190E+00   0.000000E+00  -0.378103E+02   0.388149E-07   0.843206E-03  -0.673860E-06
   123   0.355971E+04   0.969913E+00   0.000000E+00  -0.379324E+02   0.385920E-07   0.833557E-03  -0.660029E-06
   124   0.359216E+04   0.966079E+00   0.000000E+00  -0.380266E+02   0.383706E-07   0.824051E-03  -0.645889E-06
   125   0.362445E+04   0.961704E+00   0.000000E+00  -0.380923E+02   0.381506E-07   0.814686E-03  -0.631471E-06
   126   0.365657E+04   0.956790E+00   0.000000E+00  -0.381291E+02   0.379321E-07   0.805458E-03  -0.616806E-06
   127   0.368850E+04   0.951355E+00   0.000000E+00  -0.381362E+02   0.377150E-07   0.796365E-03  -0.601926E-06
   128   0.372023E+04   0.945399E+00   0.000000E+00  -0.381132E+02   0.374994E-07   0.787405E-03  -0.586860E-06
   129   0.375176E+04   0.938942E+00   0.000000E+00  -0.380595E+02   0.372853E-07   0.778574E-03  -0.571641E-06
   130   0.378306E+04   0.931983E+00   0.000000E+00  -0.379745E+02   0.370728E-07   0.769869E-03  -0.556300E-06
   131   0.381412E+04   0.924544E+00   0.000000E+00  -0.378578E+02   0.368617E-07   0.761288E-03  -0.540866E-06
   132   0.384493E+04   0.916657E+00   0.000000E+00  -0.377091E+02   0.366521E-07   0.752829E-03  -0.525363E-06
   133   0.387548E+04   0.908343E+00   0.000000E+00  -0.375282E+02   0.364440E-07   0.744489E-03  -0.509816E-06
   134   0.390576E+04   0.899653E+00   0.000000E+00  -0.373150E+02   0.362374E-07   0.736268E-03  -0.494246E-06
   135   0.393575E+04   0.890600E+00   0.000000E+00  -0.370693E+02   0.360323E-07   0.728162E-03  -0.478676E-06
   136   0.396545E+04   0.881228E+00   0.000000E+00  -0.367909E+02   0.358286E-07   0.720171E-03  -0.463131E-06
   137   0.399484E+04   0.871565E+00   0.000000E+00  -0.364797E+02   0.356265E-07   0.712292E-03  -0.447632E-06
   138   0.402392E+04   0.861655E+00   0.000000E+00  -0.361355E+02   0.354258E-07   0.704522E-03  -0.432203E-06
   139   0.405267E+04   0.851524E+00   0.000000E+00  -0.357583E+02   0.352265E-07   0.696862E-03  -0.416868E-06
   140   0.408108E+04   0.841211E+00   0.000000E+00  -0.353479E+02   0.350287E-07   0.689307E-03  -0.401648E-06
   141   0.410914E+04   0.830764E+00   0.000000E+00  -0.349043E+02   0.348324E-07   0.681857E-03  -0.386567E-06
   142   0.413683E+04   0.820206E+00   0.000000E+00  -0.344272E+02   0.346375E-07   0.674510E-03  -0.371647E-06
   143   0.416416E+04   0.809578E+00   0.000000E+00  -0.339168E+02   0.344441E-07   0.667263E-03  -0.356913E-06
   144   0.419109E+04   0.798926E+00   0.000000E+00  -0.333728E+02   0.342520E-07   0.660115E-03  -0.342387E-06
   145   0.421762E+04   0.788276E+00   0.000000E+00  -0.327950E+02   0.340614E-07   0.653064E-03  -0.328091E-06
   146   0.424373E+04   0.777680E+00   0.000000E+00  -0.321836E+02   0.338722E-07   0.646108E-03  -0.314050E-06
   147   0.426940E+04   0.767181E+00   0.000000E+00  -0.315383E+02   0.336845E-07   0.639245E-03  -0.300285E-06
   148   0.429462E+04   0.756815E+00   0.000000E+00  -0.308590E+02   0.334981E-07   0.632473E-03  -0.286820E-06
   149   0.431936E+04   0.746625E+00   0.000000E+00  -0.301458E+02   0.333131E-07   0.625791E-03  -0.273678E-06
   150   0.434361E+04   0.736654E+00   0.000000E+00  -0.293983E+02   0.331296E-07   0.619196E-03  -0.260881E-06
   151   0.436735E+04   0.726946E+00   0.000000E+00  -0.286168E+02   0.329474E-07   0.612686E-03  -0.248446E-06
   152   0.439057E+04   0.717545E+00   0.000000E+00  -0.278014E+02   0.327666E-07   0.606261E-03  -0.236358E-06
   153   0.441328E+04   0.708504E+00   0.000000E+00  -0.269525E+02   0.325872E-07   0.599920E-03  -0.224596E-06
   154   0.443547E+04   0.699876E+00   0.000000E+00  -0.260705E+02   0.324092E-07   0.593661E-03  -0.213137E-06
   155   0.445712E+04   0.691697E+00   0.000000E+00  -0.251556E+02   0.322325E-07   0.587483E-03  -0.201960E-06
   156   0.447826E+04   0.684029E+00   0.000000E+00  -0.242083E+02   0.320572E-07   0.581385E-03  -0.191044E-06
   157   0.449886E+04   0.676908E+00   0.000000E+00  -0.232289E+02   0.318832E-07   0.575367E-03  -0.180367E-06
   158   0.451893E+04   0.670401E+00   0.000000E+00  -0.222178E+02   0.317105E-07   0.569427E-03  -0.169908E-06
   159   0.453845E+04   0.664547E+00   0.000000E+00  -0.211752E+02   0.315392E-07   0.563564E-03  -0.159644E-06
   160   0.455742E+04   0.659406E+00   0.000000E+00  -0.201018E+02   0.313692E-07   0.557776E-03  -0.149554E-06
   161   0.457582E+04   0.655029E+00   0.000000E+00  -0.189977E+02   0.312005E-07   0.552064E-03  -0.139617E-06
   162   0.459364E+04   0.651469E+00   0.000000E+00  -0.178636E+02   0.310332E-07   0.546426E-03  -0.129811E-06
   163   0.461087E+04   0.648793E+00   0.000000E+00  -0.166996E+02   0.308671E-07   0.540861E-03  -0.120114E-06
   164   0.462749E+04   0.647040E+00   0.000000E+00  -0.155063E+02   0.307023E-07   0.535368E-03  -0.110506E-06
   165   0.464350E+04   0.646268E+00   0.000000E+00  -0.142840E+02   0.305388E-07   0.529946E-03  -0.100963E-06
   166   0.465889E+04   0.646538E+00   0.000000E+00  -0.130333E+02   0.303766E-07   0.524593E-03  -0.914654E-07
   167   0.467366E+04   0.647910E+00   0.000000E+00  -0.117546E+02   0.302156E-07   0.519310E-03  -0.819910E-07
   168   0.468779E+04   0.650443E+00   0.000000E+00  -0.104486E+02   0.300559E-07   0.514094E-03  -0.725183E-07
   169   0.470128E+04   0.654198E+00   0.000000E+00  -0.911572E+01   0.298975E-07   0.508945E-03  -0.630257E-07
   170   0.471412E+04   0.659226E+00   0.000000E+00  -0.775647E+01   0.297403E-07   0.503861E-03  -0.534917E-07
   171   0.472630E+04   0.665596E+00   0.000000E+00  -0.637139E+01   0.295843E-07   0.498842E-03  -0.438948E-07
   172   0.473783E+04   0.673367E+00   0.000000E+00  -0.496108E+01   0.294296E-07   0.493887E-03  -0.342135E-07
   173   0.474868E+04   0.682599E+00   0.000000E+00  -0.352606E+01   0.292761E-07   0.488994E-03  -0.244262E-07
   174   0.475886E+04   0.693351E+00   0.000000E+00  -0.206694E+01   0.291238E-07   0.484162E-03  -0.145115E-07
   175   0.476835E+04   0.705699E+00   0.000000E+00  -0.584449E+00   0.289727E-07   0.479392E-03  -0.444775E-08
   176   0.477715E+04   0.719694E+00   0.000000E+00   0.920828E+00   0.288229E-07   0.474681E-03   0.578312E-08
   177   0.478526E+04   0.735410E+00   0.000000E+00   0.244804E+01   0.286742E-07   0.470028E-03   0.161860E-07
   178   0.479265E+04   0.752903E+00   0.000000E+00   0.399619E+01   0.285267E-07   0.465433E-03   0.267626E-07
   179   0.479935E+04   0.772230E+00   0.000000E+00   0.556439E+01   0.283803E-07   0.460895E-03   0.375143E-07
   180   0.480535E+04   0.793464E+00   0.000000E+00   0.715158E+01   0.282352E-07   0.456414E-03   0.484427E-07
   181   0.481064E+04   0.816670E+00   0.000000E+00   0.875669E+01   0.280911E-07   0.451987E-03   0.595494E-07
   182   0.481523E+04   0.841912E+00   0.000000E+00   0.103787E+02   0.279482E-07   0.447616E-03   0.708359E-07
   183   0.481910E+04   0.869247E+00   0.000000E+00   0.120167E+02   0.278065E-07   0.443298E-03   0.823039E-07
   184   0.482227E+04   0.898748E+00   0.000000E+00   0.136694E+02   0.276658E-07   0.439032E-03   0.939548E-07
   185   0.482472E+04   0.930487E+00   0.000000E+00   0.153360E+02   0.275263E-07   0.434819E-03   0.105790E-06
   186   0.482645E+04   0.964520E+00   0.000000E+00   0.170153E+02   0.273878E-07   0.430657E-03   0.117812E-06
   187   0.482747E+04   0.100091E+01   0.000000E+00   0.187062E+02   0.272504E-07   0.426546E-03   0.130021E-06
   188   0.482777E+04   0.103974E+01   0.000000E+00   0.204076E+02   0.271141E-07   0.422484E-03   0.142420E-06
   189   0.482735E+04   0.108107E+01   0.000000E+00   0.221184E+02   0.269788E-07   0.418470E-03   0.155009E-06
