#    L    TT             EE             BB             TE          
   227   0.519257E+04   0.287935E+01   0.685802E-02   0.755126E+02
   228   0.516477E+04   0.298408E+01   0.691360E-02   0.771977E+02
   229   0.513640E+04   0.309127E+01   0.696907E-02   0.788624E+02
   230   0.510746E+04   0.320090E+01   0.702443E-02   0.805055E+02
   231   0.507796E+04   0.331296E+01   0.707968E-02   0.821261E+02
   232   0.504792E+04   0.342746E+01   0.713479E-02   0.837230E+02
   233   0.501736E+04   0.354439E+01   0.718976E-02   0.852951E+02
   234   0.498627E+04   0.366374E+01   0.724459E-02   0.868413E+02
   235   0.495468E+04   0.378550E+01   0.729926E-02   0.883607E+02
   236   0.492260E+04   0.390968E+01   0.735377E-02   0.898521E+02
   237   0.489005E+04   0.403626E+01   0.740810E-02   0.913144E+02
   238   0.485703E+04   0.416521E+01   0.746226E-02   0.927465E+02
   239   0.482357E+04   0.429654E+01   0.751622E-02   0.941474E+02
   240   0.478968E+04   0.443023E+01   0.756999E-02   0.955157E+02
   241   0.475536E+04   0.456628E+01   0.762355E-02   0.968507E+02
   242   0.472065E+04   0.470467E+01   0.767690E-02   0.981510E+02
   243   0.468555E+04   0.484538E+01   0.773002E-02   0.994155E+02
   244   0.465007E+04   0.498841E+01   0.778292E-02   0.100643E+03
   245   0.461424E+04   0.513372E+01   0.783558E-02   0.101833E+03
   246   0.457808E+04   0.528131E+01   0.788800E-02   0.102984E+03
   247   0.454159E+04   0.543115E+01   0.794016E-02   0.104095E+03
   248   0.450481E+04   0.558324E+01   0.799208E-02   0.105165E+03
   249   0.446773E+04   0.573754E+01   0.804372E-02   0.106192E+03
   250   0.443039E+04   0.589405E+01   0.809511E-02   0.107176E+03
   251   0.439279E+04   0.605271E+01   0.814622E-02   0.108116E+03
   252   0.435493E+04   0.621348E+01   0.819705E-02   0.109011E+03
   253   0.431683E+04   0.637629E+01   0.824760E-02   0.109861E+03
   254   0.427851E+04   0.654107E+01   0.829786E-02   0.110666E+03
   255   0.423995E+04   0.670774E+01   0.834783E-02   0.111426E+03
   256   0.420118E+04   0.687624E+01   0.839751E-02   0.112141E+03
   257   0.416221E+04   0.704650E+01   0.844690E-02   0.112810E+03
   258   0.412306E+04   0.721844E+01   0.849599E-02   0.113434E+03
   259   0.408374E+04   0.739200E+01   0.854479E-02   0.114014E+03
   260   0.404429E+04   0.756709E+01   0.859328E-02   0.114547E+03
