#    L    TT             EE             BB             TE             PP             TP             EP          
   176   0.472361E+04   0.982683E+00   0.000000E+00  -0.458612E+02   0.760139E-07   0.105762E-03  -0.638223E-06
   177   0.475201E+04   0.976610E+00   0.000000E+00  -0.457596E+02   0.755912E-07   0.105138E-03  -0.636368E-06
   178   0.478019E+04   0.970280E+00   0.000000E+00  -0.456386E+02   0.751719E-07   0.104514E-03  -0.634401E-06
   179   0.480815E+04   0.963689E+00   0.000000E+00  -0.454978E+02   0.747561E-07   0.103890E-03  -0.632313E-06
   180   0.483590E+04   0.956853E+00   0.000000E+00  -0.453370E+02   0.743437E-07   0.103266E-03  -0.630098E-06
   181   0.486341E+04   0.949777E+00   0.000000E+00  -0.451563E+02   0.739348E-07   0.102642E-03  -0.627749E-06
   182   0.489068E+04   0.942468E+00   0.000000E+00  -0.449552E+02   0.735292E-07   0.102019E-03  -0.625259E-06
   183   0.491772E+04   0.934923E+00   0.000000E+00  -0.447338E+02   0.731269E-07   0.101397E-03  -0.622621E-06
   184   0.494449E+04   0.927158E+00   0.000000E+00  -0.444919E+02   0.727280E-07   0.100775E-03  -0.619828E-06
   185   0.497102E+04   0.919185E+00   0.000000E+00  -0.442292E+02   0.723324E-07   0.100155E-03  -0.616874E-06
   186   0.499727E+04   0.911003E+00   0.000000E+00  -0.439457E+02   0.719399E-07   0.995369E-04  -0.613751E-06
   187   0.502325E+04   0.902620E+00   0.000000E+00  -0.436412E+02   0.715507E-07   0.989202E-04  -0.610453E-06
   188   0.504896E+04   0.894051E+00   0.000000E+00  -0.433158E+02   0.711647E-07   0.983055E-04  -0.606972E-06
   189   0.507439E+04   0.885304E+00   0.000000E+00  -0.429693E+02   0.707818E-07   0.976930E-04  -0.603302E-06
   190   0.509952E+04   0.876391E+00   0.000000E+00  -0.426016E+02   0.704021E-07   0.970830E-04  -0.599437E-06
   191   0.512436E+04   0.867319E+00   0.000000E+00  -0.422129E+02   0.700254E-07   0.964757E-04  -0.595368E-06
   192   0.514888E+04   0.858101E+00   0.000000E+00  -0.418028E+02   0.696518E-07   0.958713E-04  -0.591089E-06
   193   0.517310E+04   0.848745E+00   0.000000E+00  -0.413715E+02   0.692812E-07   0.952701E-04  -0.586593E-06
