#    L    TT             EE             BB             TE             PP             TP             EP          
   152   0.512832E+04   0.856704E+00   0.000000E+00  -0.404294E+02   0.288988E-07   0.547510E-03  -0.551489E-06
   153   0.515657E+04   0.843676E+00   0.000000E+00  -0.397566E+02   0.287203E-07   0.541614E-03  -0.542366E-06
   154   0.518424E+04   0.830622E+00   0.000000E+00  -0.390482E+02   0.285434E-07   0.535799E-03  -0.532820E-06
   155   0.521132E+04   0.817567E+00   0.000000E+00  -0.383041E+02   0.283680E-07   0.530065E-03  -0.522872E-06
   156   0.523781E+04   0.804559E+00   0.000000E+00  -0.375248E+02   0.281942E-07   0.524410E-03  -0.512541E-06
   157   0.526369E+04   0.791624E+00   0.000000E+00  -0.367104E+02   0.280220E-07   0.518833E-03  -0.501847E-06
   158   0.528898E+04   0.778815E+00   0.000000E+00  -0.358610E+02   0.278512E-07   0.513333E-03  -0.490809E-06
   159   0.531364E+04   0.766158E+00   0.000000E+00  -0.349769E+02   0.276820E-07   0.507908E-03  -0.479448E-06
   160   0.533769E+04   0.753701E+00   0.000000E+00  -0.340583E+02   0.275143E-07   0.502557E-03  -0.467782E-06
   161   0.536109E+04   0.741484E+00   0.000000E+00  -0.331055E+02   0.273482E-07   0.497280E-03  -0.455831E-06
   162   0.538383E+04   0.729546E+00   0.000000E+00  -0.321187E+02   0.271835E-07   0.492074E-03  -0.443615E-06
   163   0.540591E+04   0.717943E+00   0.000000E+00  -0.310980E+02   0.270203E-07   0.486940E-03  -0.431154E-06
   164   0.542732E+04   0.706700E+00   0.000000E+00  -0.300439E+02   0.268585E-07   0.481874E-03  -0.418467E-06
   165   0.544803E+04   0.695864E+00   0.000000E+00  -0.289565E+02   0.266982E-07   0.476877E-03  -0.405574E-06
   166   0.546805E+04   0.685483E+00   0.000000E+00  -0.278361E+02   0.265394E-07   0.471947E-03  -0.392495E-06
   167   0.548737E+04   0.675604E+00   0.000000E+00  -0.266831E+02   0.263820E-07   0.467083E-03  -0.379249E-06
   168   0.550597E+04   0.666275E+00   0.000000E+00  -0.254980E+02   0.262261E-07   0.462283E-03  -0.365855E-06
   169   0.552384E+04   0.657543E+00   0.000000E+00  -0.242810E+02   0.260715E-07   0.457547E-03  -0.352334E-06
   170   0.554099E+04   0.649449E+00   0.000000E+00  -0.230325E+02   0.259184E-07   0.452873E-03  -0.338705E-06
   171   0.555740E+04   0.642046E+00   0.000000E+00  -0.217528E+02   0.257666E-07   0.448260E-03  -0.324987E-06
   172   0.557307E+04   0.635384E+00   0.000000E+00  -0.204425E+02   0.256163E-07   0.443707E-03  -0.311200E-06
   173   0.558798E+04   0.629508E+00   0.000000E+00  -0.191018E+02   0.254673E-07   0.439213E-03  -0.297364E-06
   174   0.560213E+04   0.624468E+00   0.000000E+00  -0.177312E+02   0.253197E-07   0.434776E-03  -0.283499E-06
   175   0.561550E+04   0.620324E+00   0.000000E+00  -0.163314E+02   0.251734E-07   0.430395E-03  -0.269623E-06
   176   0.562810E+04   0.617118E+00   0.000000E+00  -0.149026E+02   0.250285E-07   0.426070E-03  -0.255753E-06
   177   0.563991E+04   0.614911E+00   0.000000E+00  -0.134455E+02   0.248849E-07   0.421799E-03  -0.241890E-06
   178   0.565093E+04   0.613752E+00   0.000000E+00  -0.119610E+02   0.247427E-07   0.417581E-03  -0.228031E-06
   179   0.566116E+04   0.613688E+00   0.000000E+00  -0.104497E+02   0.246017E-07   0.413416E-03  -0.214173E-06
   180   0.567059E+04   0.614782E+00   0.000000E+00  -0.891259E+01   0.244620E-07   0.409303E-03  -0.200313E-06
   181   0.567921E+04   0.617090E+00   0.000000E+00  -0.735040E+01   0.243237E-07   0.405241E-03  -0.186448E-06
   182   0.568703E+04   0.620666E+00   0.000000E+00  -0.576395E+01   0.241865E-07   0.401230E-03  -0.172577E-06
   183   0.569405E+04   0.625559E+00   0.000000E+00  -0.415412E+01   0.240506E-07   0.397269E-03  -0.158695E-06
   184   0.570025E+04   0.631831E+00   0.000000E+00  -0.252182E+01   0.239160E-07   0.393357E-03  -0.144801E-06
   185   0.570564E+04   0.639545E+00   0.000000E+00  -0.867704E+00   0.237826E-07   0.389494E-03  -0.130891E-06
   186   0.571021E+04   0.648748E+00   0.000000E+00   0.807159E+00   0.236504E-07   0.385678E-03  -0.116963E-06
   187   0.571395E+04   0.659497E+00   0.000000E+00   0.250198E+01   0.235194E-07   0.381908E-03  -0.103013E-06
   188   0.571688E+04   0.671858E+00   0.000000E+00   0.421576E+01   0.233896E-07   0.378185E-03  -0.890397E-07
   189   0.571897E+04   0.685886E+00   0.000000E+00   0.594762E+01   0.232609E-07   0.374507E-03  -0.750395E-07
   190   0.572023E+04   0.701643E+00   0.000000E+00   0.769658E+01   0.231334E-07   0.370875E-03  -0.610098E-07
   191   0.572066E+04   0.719184E+00   0.000000E+00   0.946161E+01   0.230070E-07   0.367285E-03  -0.469478E-07
   192   0.572025E+04   0.738572E+00   0.000000E+00   0.112419E+02   0.228818E-07   0.363739E-03  -0.328508E-07
   193   0.571898E+04   0.759864E+00   0.000000E+00   0.130366E+02   0.227577E-07   0.360236E-03  -0.187159E-07
   194   0.571689E+04   0.783122E+00   0.000000E+00   0.148443E+02   0.226347E-07   0.356774E-03  -0.454035E-08
   195   0.571395E+04   0.808407E+00   0.000000E+00   0.166643E+02   0.225128E-07   0.353353E-03   0.967858E-08
   196   0.571016E+04   0.835781E+00   0.000000E+00   0.184953E+02   0.223919E-07   0.349973E-03   0.239437E-07
   197   0.570554E+04   0.865305E+00   0.000000E+00   0.203363E+02   0.222722E-07   0.346631E-03   0.382577E-07
   198   0.570008E+04   0.897042E+00   0.000000E+00   0.221863E+02   0.221534E-07   0.343329E-03   0.526235E-07
   199   0.569377E+04   0.931052E+00   0.000000E+00   0.240442E+02   0.220357E-07   0.340065E-03   0.670438E-07
   200   0.568663E+04   0.967397E+00   0.000000E+00   0.259089E+02   0.219191E-07   0.336837E-03   0.815213E-07
   201   0.567864E+04   0.100613E+01   0.000000E+00   0.277794E+02   0.218034E-07   0.333647E-03   0.960579E-07
   202   0.566982E+04   0.104726E+01   0.000000E+00   0.296547E+02   0.216887E-07   0.330493E-03   0.110651E-06
   203   0.566014E+04   0.109080E+01   0.000000E+00   0.315343E+02   0.215751E-07   0.327374E-03   0.125298E-06
   204   0.564962E+04   0.113675E+01   0.000000E+00   0.334172E+02   0.214624E-07   0.324291E-03   0.139995E-06
   205   0.563826E+04   0.118512E+01   0.000000E+00   0.353026E+02   0.213507E-07   0.321243E-03   0.154740E-06
   206   0.562606E+04   0.123590E+01   0.000000E+00   0.371898E+02   0.212399E-07   0.318230E-03   0.169528E-06
   207   0.561302E+04   0.128910E+01   0.000000E+00   0.390781E+02   0.211301E-07   0.315251E-03   0.184357E-06
   208   0.559914E+04   0.134473E+01   0.000000E+00   0.409664E+02   0.210213E-07   0.312306E-03   0.199223E-06
