#    L    TT             EE             BB             TE          
   208   0.467949E+04   0.244214E+01   0.867015E-02   0.547775E+02
   209   0.466478E+04   0.254517E+01   0.874951E-02   0.564328E+02
   210   0.464941E+04   0.265139E+01   0.882881E-02   0.580757E+02
   211   0.463339E+04   0.276079E+01   0.890804E-02   0.597053E+02
   212   0.461676E+04   0.287334E+01   0.898720E-02   0.613209E+02
   213   0.459953E+04   0.298904E+01   0.906628E-02   0.629214E+02
   214   0.458171E+04   0.310786E+01   0.914527E-02   0.645060E+02
   215   0.456332E+04   0.322979E+01   0.922416E-02   0.660739E+02
   216   0.454436E+04   0.335481E+01   0.930294E-02   0.676242E+02
   217   0.452482E+04   0.348290E+01   0.938160E-02   0.691558E+02
   218   0.450474E+04   0.361403E+01   0.946014E-02   0.706681E+02
   219   0.448411E+04   0.374821E+01   0.953855E-02   0.721599E+02
   220   0.446294E+04   0.388540E+01   0.961681E-02   0.736305E+02
   221   0.444124E+04   0.402558E+01   0.969491E-02   0.750789E+02
   222   0.441901E+04   0.416875E+01   0.977286E-02   0.765042E+02
   223   0.439627E+04   0.431487E+01   0.985063E-02   0.779053E+02
   224   0.437304E+04   0.446392E+01   0.992822E-02   0.792815E+02
   225   0.434934E+04   0.461588E+01   0.100056E-01   0.806315E+02
   226   0.432516E+04   0.477074E+01   0.100828E-01   0.819547E+02
   227   0.430053E+04   0.492847E+01   0.101598E-01   0.832498E+02
   228   0.427546E+04   0.508905E+01   0.102366E-01   0.845159E+02
   229   0.424996E+04   0.525245E+01   0.103131E-01   0.857521E+02
   230   0.422404E+04   0.541865E+01   0.103894E-01   0.869574E+02
   231   0.419772E+04   0.558762E+01   0.104654E-01   0.881307E+02
   232   0.417103E+04   0.575933E+01   0.105412E-01   0.892711E+02
   233   0.414395E+04   0.593377E+01   0.106166E-01   0.903774E+02
   234   0.411651E+04   0.611091E+01   0.106918E-01   0.914487E+02
   235   0.408873E+04   0.629072E+01   0.107667E-01   0.924840E+02
   236   0.406061E+04   0.647317E+01   0.108413E-01   0.934823E+02
   237   0.403218E+04   0.665823E+01   0.109156E-01   0.944424E+02
   238   0.400345E+04   0.684587E+01   0.109896E-01   0.953635E+02
   239   0.397444E+04   0.703605E+01   0.110632E-01   0.962443E+02
   240   0.394515E+04   0.722875E+01   0.111364E-01   0.970838E+02
   241   0.391560E+04   0.742393E+01   0.112093E-01   0.978811E+02
   242   0.388582E+04   0.762157E+01   0.112819E-01   0.986351E+02
   243   0.385581E+04   0.782162E+01   0.113540E-01   0.993446E+02
   244   0.382559E+04   0.802406E+01   0.114258E-01   0.100009E+03
   245   0.379519E+04   0.822884E+01   0.114972E-01   0.100626E+03
   246   0.376463E+04   0.843592E+01   0.115681E-01   0.101197E+03
   247   0.373390E+04   0.864527E+01   0.116387E-01   0.101718E+03
   248   0.370304E+04   0.885685E+01   0.117089E-01   0.102191E+03
   249   0.367207E+04   0.907062E+01   0.117786E-01   0.102612E+03
   250   0.364100E+04   0.928654E+01   0.118479E-01   0.102982E+03
   251   0.360983E+04   0.950455E+01   0.119168E-01   0.103300E+03
   252   0.357858E+04   0.972455E+01   0.119853E-01   0.103565E+03
