#           k/h    P           
   0.199304E+01   0.174947E+03
   0.203330E+01   0.170202E+03
   0.207437E+01   0.165540E+03
   0.211628E+01   0.160962E+03
   0.215903E+01   0.156470E+03
   0.220265E+01   0.152063E+03
   0.224714E+01   0.147742E+03
   0.229254E+01   0.143508E+03
   0.233885E+01   0.139359E+03
   0.238610E+01   0.135297E+03
   0.243430E+01   0.131321E+03
   0.248348E+01   0.127431E+03
   0.253365E+01   0.123627E+03
   0.258483E+01   0.119908E+03
   0.263705E+01   0.116274E+03
   0.269032E+01   0.112724E+03
   0.274466E+01   0.109258E+03
   0.280011E+01   0.105875E+03
   0.285668E+01   0.102574E+03
   0.291439E+01   0.993547E+02
   0.297326E+01   0.962160E+02
   0.303332E+01   0.931570E+02
   0.309460E+01   0.901767E+02
   0.315712E+01   0.872741E+02
   0.322090E+01   0.844480E+02
   0.328596E+01   0.816975E+02
   0.335234E+01   0.790212E+02
   0.342006E+01   0.764180E+02
   0.348916E+01   0.738867E+02
   0.355964E+01   0.714260E+02
   0.363155E+01   0.690347E+02
   0.370491E+01   0.667114E+02
   0.377976E+01   0.644550E+02
   0.385611E+01   0.622640E+02
   0.393401E+01   0.601372E+02
   0.401348E+01   0.580733E+02
   0.409456E+01   0.560709E+02
   0.417727E+01   0.541289E+02
   0.426166E+01   0.522458E+02
   0.434775E+01   0.504203E+02
   0.443558E+01   0.486513E+02
   0.452519E+01   0.469373E+02
   0.461660E+01   0.452772E+02
   0.470987E+01   0.436695E+02
   0.480501E+01   0.421131E+02
   0.490208E+01   0.406067E+02
   0.500111E+01   0.391490E+02
   0.510214E+01   0.377387E+02
   0.520521E+01   0.363743E+02
   0.531036E+01   0.350545E+02
   0.541763E+01   0.337780E+02
   0.552708E+01   0.325434E+02
   0.563873E+01   0.313495E+02
   0.575264E+01   0.301950E+02
   0.586885E+01   0.290788E+02
   0.598741E+01   0.279996E+02
   0.610836E+01   0.269564E+02
   0.623176E+01   0.259481E+02
   0.635765E+01   0.249737E+02
   0.648609E+01   0.240325E+02
   0.661711E+01   0.231238E+02
   0.675079E+01   0.222469E+02
   0.688716E+01   0.214012E+02
   0.702629E+01   0.205858E+02
   0.716823E+01   0.198001E+02
   0.731304E+01   0.190433E+02
   0.746077E+01   0.183145E+02
   0.761149E+01   0.176132E+02
   0.776525E+01   0.169384E+02
