#    L    TT             EE             BB             TE          
   214   0.559382E+04   0.667549E+00   0.129733E-01  -0.271958E+02
   215   0.560953E+04   0.660321E+00   0.131107E-01  -0.263114E+02
   216   0.562480E+04   0.653477E+00   0.132489E-01  -0.254077E+02
   217   0.563963E+04   0.647037E+00   0.133879E-01  -0.244850E+02
   218   0.565401E+04   0.641023E+00   0.135277E-01  -0.235434E+02
   219   0.566792E+04   0.635468E+00   0.136683E-01  -0.225831E+02
   220   0.568137E+04   0.630394E+00   0.138096E-01  -0.216043E+02
   221   0.569435E+04   0.625821E+00   0.139518E-01  -0.206073E+02
   222   0.570684E+04   0.621785E+00   0.140948E-01  -0.195921E+02
   223   0.571885E+04   0.618298E+00   0.142385E-01  -0.185591E+02
   224   0.573037E+04   0.615388E+00   0.143830E-01  -0.175084E+02
   225   0.574142E+04   0.613068E+00   0.145283E-01  -0.164405E+02
   226   0.575196E+04   0.611373E+00   0.146743E-01  -0.153555E+02
   227   0.576202E+04   0.610325E+00   0.148210E-01  -0.142536E+02
   228   0.577157E+04   0.609935E+00   0.149685E-01  -0.131352E+02
   229   0.578063E+04   0.610231E+00   0.151168E-01  -0.120005E+02
   230   0.578919E+04   0.611234E+00   0.152657E-01  -0.108497E+02
   231   0.579725E+04   0.612950E+00   0.154154E-01  -0.968320E+01
   232   0.580480E+04   0.615405E+00   0.155657E-01  -0.850125E+01
   233   0.581185E+04   0.618621E+00   0.157168E-01  -0.730416E+01
   234   0.581838E+04   0.622610E+00   0.158685E-01  -0.609228E+01
   235   0.582441E+04   0.627393E+00   0.160209E-01  -0.486578E+01
   236   0.582992E+04   0.632990E+00   0.161739E-01  -0.362506E+01
   237   0.583492E+04   0.639398E+00   0.163276E-01  -0.237047E+01
   238   0.583940E+04   0.646639E+00   0.164819E-01  -0.110224E+01
   239   0.584338E+04   0.654717E+00   0.166368E-01   0.179284E+00
   240   0.584683E+04   0.663661E+00   0.167923E-01   0.147363E+01
   241   0.584977E+04   0.673475E+00   0.169483E-01   0.278069E+01
   242   0.585219E+04   0.684165E+00   0.171050E-01   0.409998E+01
   243   0.585411E+04   0.695744E+00   0.172621E-01   0.543118E+01
   244   0.585550E+04   0.708217E+00   0.174198E-01   0.677410E+01
   245   0.585639E+04   0.721597E+00   0.175781E-01   0.812835E+01
   246   0.585677E+04   0.735875E+00   0.177368E-01   0.949367E+01
   247   0.585664E+04   0.751070E+00   0.178960E-01   0.108697E+02
   248   0.585601E+04   0.767188E+00   0.180556E-01   0.122561E+02
   249   0.585487E+04   0.784220E+00   0.182157E-01   0.136527E+02
   250   0.585323E+04   0.802186E+00   0.183762E-01   0.150590E+02
   251   0.585109E+04   0.821067E+00   0.185372E-01   0.164745E+02
   252   0.584843E+04   0.840914E+00   0.186985E-01   0.178987E+02
   253   0.584526E+04   0.861758E+00   0.188602E-01   0.193309E+02
   254   0.584159E+04   0.883649E+00   0.190222E-01   0.207703E+02
   255   0.583739E+04   0.906611E+00   0.191846E-01   0.222163E+02
   256   0.583267E+04   0.930692E+00   0.193473E-01   0.236682E+02
   257   0.582744E+04   0.955927E+00   0.195102E-01   0.251255E+02
   258   0.582170E+04   0.982340E+00   0.196735E-01   0.265872E+02
   259   0.581546E+04   0.100998E+01   0.198371E-01   0.280540E+02
   260   0.580873E+04   0.103887E+01   0.200008E-01   0.295235E+02
   261   0.580150E+04   0.106905E+01   0.201649E-01   0.309968E+02
   262   0.579380E+04   0.110055E+01   0.203291E-01   0.324723E+02
   263   0.578561E+04   0.113339E+01   0.204935E-01   0.339503E+02
   264   0.577696E+04   0.116762E+01   0.206581E-01   0.354293E+02
