#    L    TT             EE             BB             TE          
   266   0.349781E+04   0.100752E+02   0.103972E-01   0.111907E+03
   267   0.346115E+04   0.102768E+02   0.104501E-01   0.111850E+03
   268   0.342452E+04   0.104791E+02   0.105026E-01   0.111746E+03
   269   0.338791E+04   0.106819E+02   0.105548E-01   0.111595E+03
   270   0.335133E+04   0.108852E+02   0.106067E-01   0.111399E+03
   271   0.331483E+04   0.110888E+02   0.106583E-01   0.111156E+03
   272   0.327838E+04   0.112927E+02   0.107095E-01   0.110866E+03
   273   0.324203E+04   0.114967E+02   0.107605E-01   0.110531E+03
   274   0.320577E+04   0.117008E+02   0.108112E-01   0.110151E+03
   275   0.316963E+04   0.119049E+02   0.108616E-01   0.109724E+03
   276   0.313363E+04   0.121087E+02   0.109117E-01   0.109253E+03
   277   0.309777E+04   0.123123E+02   0.109616E-01   0.108736E+03
   278   0.306207E+04   0.125156E+02   0.110112E-01   0.108174E+03
   279   0.302655E+04   0.127183E+02   0.110606E-01   0.107568E+03
   280   0.299122E+04   0.129204E+02   0.111097E-01   0.106918E+03
   281   0.295610E+04   0.131218E+02   0.111586E-01   0.106224E+03
   282   0.292119E+04   0.133223E+02   0.112073E-01   0.105485E+03
   283   0.288653E+04   0.135219E+02   0.112557E-01   0.104704E+03
   284   0.285212E+04   0.137204E+02   0.113040E-01   0.103878E+03
   285   0.281797E+04   0.139177E+02   0.113520E-01   0.103010E+03
   286   0.278410E+04   0.141137E+02   0.113999E-01   0.102099E+03
   287   0.275053E+04   0.143083E+02   0.114476E-01   0.101146E+03
   288   0.271727E+04   0.145013E+02   0.114951E-01   0.100150E+03
   289   0.268434E+04   0.146926E+02   0.115425E-01   0.991142E+02
   290   0.265175E+04   0.148821E+02   0.115897E-01   0.980360E+02
   291   0.261953E+04   0.150697E+02   0.116368E-01   0.969173E+02
   292   0.258767E+04   0.152551E+02   0.116837E-01   0.957580E+02
   293   0.255620E+04   0.154384E+02   0.117305E-01   0.945591E+02
   294   0.252513E+04   0.156194E+02   0.117772E-01   0.933198E+02
   295   0.249448E+04   0.157979E+02   0.118238E-01   0.920416E+02
   296   0.246425E+04   0.159738E+02   0.118703E-01   0.907246E+02
   297   0.243446E+04   0.161469E+02   0.119167E-01   0.893680E+02
   298   0.240513E+04   0.163171E+02   0.119630E-01   0.879733E+02
   299   0.237628E+04   0.164844E+02   0.120092E-01   0.865413E+02
   300   0.234791E+04   0.166484E+02   0.120554E-01   0.850722E+02
   301   0.232005E+04   0.168092E+02   0.121015E-01   0.835665E+02
   302   0.229269E+04   0.169666E+02   0.121475E-01   0.820255E+02
   303   0.226585E+04   0.171208E+02   0.121935E-01   0.804501E+02
   304   0.223953E+04   0.172715E+02   0.122395E-01   0.788413E+02
   305   0.221372E+04   0.174189E+02   0.122854E-01   0.771995E+02
   306   0.218843E+04   0.175629E+02   0.123313E-01   0.755257E+02
   307   0.216367E+04   0.177034E+02   0.123772E-01   0.738210E+02
   308   0.213943E+04   0.178404E+02   0.124231E-01   0.720863E+02
   309   0.211572E+04   0.179738E+02   0.124690E-01   0.703228E+02
   310   0.209251E+04   0.181036E+02   0.125149E-01   0.685314E+02
   311   0.206985E+04   0.182299E+02   0.125608E-01   0.667118E+02
   312   0.204770E+04   0.183525E+02   0.126067E-01   0.648664E+02
   313   0.202609E+04   0.184714E+02   0.126527E-01   0.629956E+02
   314   0.200500E+04   0.185865E+02   0.126987E-01   0.611003E+02
   315   0.198444E+04   0.186978E+02   0.127447E-01   0.591817E+02
   316   0.196441E+04   0.188053E+02   0.127908E-01   0.572408E+02
   317   0.194491E+04   0.189090E+02   0.128370E-01   0.552793E+02
   318   0.192595E+04   0.190087E+02   0.128833E-01   0.532976E+02
   319   0.190753E+04   0.191044E+02   0.129296E-01   0.512967E+02
   320   0.188963E+04   0.191962E+02   0.129760E-01   0.492783E+02
   321   0.187228E+04   0.192840E+02   0.130226E-01   0.472436E+02
   322   0.185545E+04   0.193677E+02   0.130692E-01   0.451928E+02
   323   0.183917E+04   0.194471E+02   0.131160E-01   0.431276E+02
   324   0.182342E+04   0.195224E+02   0.131629E-01   0.410500E+02
   325   0.180822E+04   0.195935E+02   0.132100E-01   0.389601E+02
   326   0.179355E+04   0.196604E+02   0.132572E-01   0.368598E+02
   327   0.177941E+04   0.197228E+02   0.133046E-01   0.347493E+02
   328   0.176582E+04   0.197809E+02   0.133522E-01   0.326305E+02
   329   0.175276E+04   0.198346E+02   0.133999E-01   0.305058E+02
   330   0.174025E+04   0.198838E+02   0.134479E-01   0.283748E+02
   331   0.172826E+04   0.199285E+02   0.134961E-01   0.262393E+02
   332   0.171682E+04   0.199686E+02   0.135445E-01   0.241003E+02
   333   0.170591E+04   0.200041E+02   0.135932E-01   0.219603E+02
   334   0.169553E+04   0.200349E+02   0.136421E-01   0.198197E+02
   335   0.168570E+04   0.200610E+02   0.136912E-01   0.176803E+02
   336   0.167640E+04   0.200824E+02   0.137407E-01   0.155429E+02
   337   0.166763E+04   0.200989E+02   0.137904E-01   0.134103E+02
   338   0.165939E+04   0.201106E+02   0.138405E-01   0.112826E+02
   339   0.165169E+04   0.201175E+02   0.138908E-01   0.916244E+01
   340   0.164452E+04   0.201194E+02   0.139415E-01   0.705078E+01
   341   0.163788E+04   0.201163E+02   0.139925E-01   0.494869E+01
   342   0.163176E+04   0.201082E+02   0.140439E-01   0.285720E+01
   343   0.162617E+04   0.200949E+02   0.140956E-01   0.778835E+00
   344   0.162108E+04   0.200765E+02   0.141477E-01  -0.128612E+01
   345   0.161651E+04   0.200528E+02   0.142002E-01  -0.333588E+01
   346   0.161245E+04   0.200238E+02   0.142530E-01  -0.536941E+01
   347   0.160889E+04   0.199896E+02   0.143063E-01  -0.738494E+01
   348   0.160584E+04   0.199498E+02   0.143600E-01  -0.938143E+01
   349   0.160328E+04   0.199048E+02   0.144141E-01  -0.113556E+02
   350   0.160123E+04   0.198542E+02   0.144686E-01  -0.133072E+02
   351   0.159967E+04   0.197983E+02   0.145236E-01  -0.152339E+02
   352   0.159862E+04   0.197371E+02   0.145790E-01  -0.171350E+02
   353   0.159805E+04   0.196705E+02   0.146349E-01  -0.190107E+02
   354   0.159796E+04   0.195989E+02   0.146912E-01  -0.208591E+02
   355   0.159836E+04   0.195222E+02   0.147480E-01  -0.226812E+02
   356   0.159922E+04   0.194406E+02   0.148053E-01  -0.244764E+02
   357   0.160055E+04   0.193541E+02   0.148630E-01  -0.262443E+02
   358   0.160233E+04   0.192629E+02   0.149213E-01  -0.279845E+02
   359   0.160456E+04   0.191669E+02   0.149800E-01  -0.296971E+02
   360   0.160722E+04   0.190663E+02   0.150392E-01  -0.313809E+02
   361   0.161031E+04   0.189612E+02   0.150988E-01  -0.330372E+02
   362   0.161382E+04   0.188517E+02   0.151590E-01  -0.346644E+02
   363   0.161775E+04   0.187378E+02   0.152197E-01  -0.362622E+02
   364   0.162207E+04   0.186197E+02   0.152808E-01  -0.378302E+02
   365   0.162679E+04   0.184975E+02   0.153425E-01  -0.393678E+02
   366   0.163191E+04   0.183712E+02   0.154046E-01  -0.408744E+02
   367   0.163740E+04   0.182411E+02   0.154672E-01  -0.423496E+02
   368   0.164326E+04   0.181072E+02   0.155303E-01  -0.437927E+02
   369   0.164948E+04   0.179697E+02   0.155939E-01  -0.452034E+02
   370   0.165606E+04   0.178284E+02   0.156580E-01  -0.465811E+02
   371   0.166297E+04   0.176839E+02   0.157225E-01  -0.479253E+02
   372   0.167022E+04   0.175359E+02   0.157875E-01  -0.492355E+02
   373   0.167778E+04   0.173848E+02   0.158530E-01  -0.505111E+02
   374   0.168566E+04   0.172306E+02   0.159189E-01  -0.517517E+02
   375   0.169383E+04   0.170734E+02   0.159853E-01  -0.529568E+02
   376   0.170230E+04   0.169133E+02   0.160522E-01  -0.541258E+02
   377   0.171105E+04   0.167504E+02   0.161195E-01  -0.552583E+02
   378   0.172005E+04   0.165849E+02   0.161872E-01  -0.563538E+02
   379   0.172932E+04   0.164168E+02   0.162554E-01  -0.574117E+02
   380   0.173884E+04   0.162463E+02   0.163240E-01  -0.584316E+02
   381   0.174859E+04   0.160735E+02   0.163930E-01  -0.594131E+02
   382   0.175856E+04   0.158984E+02   0.164624E-01  -0.603555E+02
   383   0.176875E+04   0.157213E+02   0.165322E-01  -0.612584E+02
   384   0.177914E+04   0.155422E+02   0.166025E-01  -0.621210E+02
   385   0.178971E+04   0.153614E+02   0.166731E-01  -0.629428E+02
   386   0.180045E+04   0.151790E+02   0.167441E-01  -0.637233E+02
   387   0.181137E+04   0.149952E+02   0.168154E-01  -0.644618E+02
   388   0.182243E+04   0.148100E+02   0.168872E-01  -0.651578E+02
   389   0.183362E+04   0.146237E+02   0.169593E-01  -0.658107E+02
   390   0.184494E+04   0.144364E+02   0.170317E-01  -0.664198E+02
   391   0.185637E+04   0.142483E+02   0.171045E-01  -0.669847E+02
   392   0.186789E+04   0.140594E+02   0.171776E-01  -0.675048E+02
   393   0.187950E+04   0.138699E+02   0.172510E-01  -0.679796E+02
