#           k/h    P           
   0.275177E+00   0.342159E+01
   0.280736E+00   0.327492E+01
   0.286407E+00   0.314774E+01
   0.292193E+00   0.303738E+01
   0.298096E+00   0.293790E+01
   0.304118E+00   0.284143E+01
   0.310261E+00   0.274123E+01
   0.316529E+00   0.263462E+01
   0.322923E+00   0.252327E+01
   0.329447E+00   0.241128E+01
   0.336102E+00   0.230353E+01
   0.342892E+00   0.220446E+01
   0.349819E+00   0.211590E+01
   0.356885E+00   0.203601E+01
   0.364095E+00   0.196093E+01
   0.371450E+00   0.188702E+01
   0.378954E+00   0.181192E+01
   0.386609E+00   0.173549E+01
   0.394419E+00   0.166002E+01
   0.402387E+00   0.158826E+01
   0.410516E+00   0.152171E+01
   0.418809E+00   0.146026E+01
   0.427269E+00   0.140237E+01
   0.435901E+00   0.134606E+01
   0.444706E+00   0.129033E+01
   0.453690E+00   0.123532E+01
   0.462855E+00   0.118211E+01
   0.472206E+00   0.113181E+01
   0.481745E+00   0.108451E+01
   0.491477E+00   0.103960E+01
   0.501405E+00   0.996261E+00
   0.511534E+00   0.953967E+00
   0.521868E+00   0.912987E+00
   0.532411E+00   0.873677E+00
   0.543166E+00   0.836355E+00
   0.554139E+00   0.800803E+00
   0.565333E+00   0.766650E+00
   0.576753E+00   0.733658E+00
   0.588404E+00   0.701870E+00
   0.600291E+00   0.671436E+00
   0.612418E+00   0.642384E+00
   0.624789E+00   0.614581E+00
   0.637411E+00   0.587869E+00
   0.650288E+00   0.562194E+00
   0.663424E+00   0.537596E+00
   0.676826E+00   0.514055E+00
   0.690499E+00   0.491532E+00
   0.704448E+00   0.469919E+00
   0.718679E+00   0.449208E+00
   0.733197E+00   0.429369E+00
   0.748009E+00   0.410377E+00
   0.763119E+00   0.392192E+00
   0.778536E+00   0.374766E+00
   0.794263E+00   0.358080E+00
   0.810308E+00   0.342117E+00
   0.826677E+00   0.326830E+00
   0.843378E+00   0.312194E+00
   0.860415E+00   0.298200E+00
   0.877797E+00   0.284741E+00
   0.895529E+00   0.271868E+00
   0.913620E+00   0.259568E+00
   0.932076E+00   0.247815E+00
   0.950906E+00   0.236583E+00
   0.970115E+00   0.225849E+00
   0.989713E+00   0.215590E+00
   0.100971E+01   0.205786E+00
   0.103010E+01   0.196416E+00
   0.105091E+01   0.187460E+00
   0.107214E+01   0.178901E+00
   0.109380E+01   0.170719E+00
   0.111590E+01   0.162900E+00
   0.113844E+01   0.155426E+00
   0.116144E+01   0.148282E+00
   0.118490E+01   0.141455E+00
   0.120884E+01   0.134930E+00
   0.123326E+01   0.128696E+00
   0.125817E+01   0.122739E+00
   0.128359E+01   0.117048E+00
   0.130952E+01   0.111612E+00
   0.133597E+01   0.106419E+00
   0.136296E+01   0.101460E+00
   0.139049E+01   0.967238E-01
   0.141858E+01   0.922015E-01
   0.144724E+01   0.878836E-01
   0.147648E+01   0.837614E-01
   0.150630E+01   0.798263E-01
   0.153673E+01   0.760701E-01
   0.156778E+01   0.724851E-01
   0.159945E+01   0.690640E-01
   0.163176E+01   0.657998E-01
   0.166472E+01   0.626859E-01
   0.169835E+01   0.597158E-01
   0.173266E+01   0.568833E-01
   0.176766E+01   0.541826E-01
   0.180337E+01   0.516078E-01
   0.183980E+01   0.491535E-01
   0.187697E+01   0.468143E-01
   0.191489E+01   0.445852E-01
   0.195357E+01   0.424612E-01
   0.199304E+01   0.404377E-01
   0.203330E+01   0.385101E-01
   0.207437E+01   0.366741E-01
