#           k/h    P           
   0.111590E+01   0.440949E+02
   0.113844E+01   0.420942E+02
   0.116144E+01   0.401811E+02
   0.118490E+01   0.383520E+02
   0.120884E+01   0.366033E+02
   0.123326E+01   0.349315E+02
   0.125817E+01   0.333335E+02
   0.128359E+01   0.318061E+02
   0.130952E+01   0.303463E+02
   0.133597E+01   0.289511E+02
   0.136296E+01   0.276177E+02
   0.139049E+01   0.263437E+02
   0.141858E+01   0.251263E+02
   0.144724E+01   0.239632E+02
   0.147648E+01   0.228520E+02
   0.150630E+01   0.217905E+02
   0.153673E+01   0.207765E+02
   0.156778E+01   0.198080E+02
   0.159945E+01   0.188831E+02
   0.163176E+01   0.179998E+02
   0.166472E+01   0.171566E+02
   0.169835E+01   0.163517E+02
   0.173266E+01   0.155836E+02
   0.176766E+01   0.148507E+02
   0.180337E+01   0.141515E+02
   0.183980E+01   0.134846E+02
   0.187697E+01   0.128487E+02
   0.191489E+01   0.122423E+02
   0.195357E+01   0.116642E+02
   0.199304E+01   0.111132E+02
   0.203330E+01   0.105880E+02
   0.207437E+01   0.100876E+02
